Player_name,Team_ID,Team_name,Coach_name,Board_name
Gulbadin Naib (c),1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Rashid Khan (vc),1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Aftab Alam,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Asghar Afghan,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Dawlat Zadran,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Hamid Hassan,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Hashmatullah Shahidi,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Hazratullah Zazai,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Mohammad Nabi,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Mohammad Shahzad (wk),1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Mujeeb Ur Rahman,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Najibullah Zadran,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Noor Ali Zadran,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Rahmat Shah,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Samiullah Shinwari,1,Afghanistan,Phil Simmons,Afghanistan Cricket Board
Aaron Finch (c),2,Australia,Justin Langer,Cricket Australia
Pat Cummins (vc),2,Australia,Justin Langer,Cricket Australia
Alex Carey (wk),2,Australia,Justin Langer,Cricket Australia
Jason Behrendorff,2,Australia,Justin Langer,Cricket Australia
Nathan Coulter-Nile,2,Australia,Justin Langer,Cricket Australia
Usman Khawaja,2,Australia,Justin Langer,Cricket Australia
Nathan Lyon,2,Australia,Justin Langer,Cricket Australia
Shaun Marsh,2,Australia,Justin Langer,Cricket Australia
Glenn Maxwell,2,Australia,Justin Langer,Cricket Australia
Jhye Richardson,2,Australia,Justin Langer,Cricket Australia
Kane Richardson,2,Australia,Justin Langer,Cricket Australia
Steve Smith,2,Australia,Justin Langer,Cricket Australia
Mitchell Starc,2,Australia,Justin Langer,Cricket Australia
Marcus Stoinis,2,Australia,Justin Langer,Cricket Australia
David Warner,2,Australia,Justin Langer,Cricket Australia
Adam Zampa,2,Australia,Justin Langer,Cricket Australia
Mashrafe Mortaza (c),3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Shakib Al Hasan (vc),3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Tamim Iqbal,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Liton Das,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Mushfiqur Rahim (wk),3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Mahmudullah,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Mohammad Mithun,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Sabbir Rahman,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Mehedi Hasan Miraz,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Soumya Sarkar,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Rubel Hossain,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Mohammad Saifuddin,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Mosaddek Hossain,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Mustafizur Rahman,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Abu Jayed,3,Bangladesh,Steve Rhodes,Bangladesh Cricket Board
Eoin Morgan (c),4,England,Trevor Bayliss,England and Wales Cricket Board
"Jos Buttler (vc, wk)",4,England,Trevor Bayliss,England and Wales Cricket Board
Moeen Ali,4,England,Trevor Bayliss,England and Wales Cricket Board
Jonny Bairstow,4,England,Trevor Bayliss,England and Wales Cricket Board
Tom Curran,4,England,Trevor Bayliss,England and Wales Cricket Board
Joe Denly,4,England,Trevor Bayliss,England and Wales Cricket Board
Alex Hales,4,England,Trevor Bayliss,England and Wales Cricket Board
Liam Plunkett,4,England,Trevor Bayliss,England and Wales Cricket Board
Adil Rashid,4,England,Trevor Bayliss,England and Wales Cricket Board
Joe Root,4,England,Trevor Bayliss,England and Wales Cricket Board
Jason Roy,4,England,Trevor Bayliss,England and Wales Cricket Board
Ben Stokes,4,England,Trevor Bayliss,England and Wales Cricket Board
David Willey,4,England,Trevor Bayliss,England and Wales Cricket Board
Chris Woakes,4,England,Trevor Bayliss,England and Wales Cricket Board
Mark Wood,4,England,Trevor Bayliss,England and Wales Cricket Board
Virat Kohli (c),5,India,Ravi Shastri,Board of Control for Cricket in India
Rohit Sharma (vc),5,India,Ravi Shastri,Board of Control for Cricket in India
Shikhar Dhawan,5,India,Ravi Shastri,Board of Control for Cricket in India
K. L. Rahul,5,India,Ravi Shastri,Board of Control for Cricket in India
Vijay Shankar,5,India,Ravi Shastri,Board of Control for Cricket in India
MS Dhoni (wk),5,India,Ravi Shastri,Board of Control for Cricket in India
Kedar Jadhav,5,India,Ravi Shastri,Board of Control for Cricket in India
Dinesh Karthik,5,India,Ravi Shastri,Board of Control for Cricket in India
Yuzvendra Chahal,5,India,Ravi Shastri,Board of Control for Cricket in India
Kuldeep Yadav,5,India,Ravi Shastri,Board of Control for Cricket in India
Bhuvneshwar Kumar,5,India,Ravi Shastri,Board of Control for Cricket in India
Jasprit Bumrah,5,India,Ravi Shastri,Board of Control for Cricket in India
Hardik Pandya,5,India,Ravi Shastri,Board of Control for Cricket in India
Ravindra Jadeja,5,India,Ravi Shastri,Board of Control for Cricket in India
Mohammed Shami,5,India,Ravi Shastri,Board of Control for Cricket in India
Kane Williamson (c),6,NewZealand,Gary Stead,New Zealand Cricket
"Tom Latham (vc, wk)",6,NewZealand,Gary Stead,New Zealand Cricket
Tim Southee,6,NewZealand,Gary Stead,New Zealand Cricket
Tom Blundell,6,NewZealand,Gary Stead,New Zealand Cricket
Trent Boult,6,NewZealand,Gary Stead,New Zealand Cricket
Colin de Grandhomme,6,NewZealand,Gary Stead,New Zealand Cricket
Lockie Ferguson,6,NewZealand,Gary Stead,New Zealand Cricket
Martin Guptill,6,NewZealand,Gary Stead,New Zealand Cricket
Matt Henry,6,NewZealand,Gary Stead,New Zealand Cricket
Colin Munro,6,NewZealand,Gary Stead,New Zealand Cricket
James Neesham,6,NewZealand,Gary Stead,New Zealand Cricket
Henry Nicholls,6,NewZealand,Gary Stead,New Zealand Cricket
Mitchell Santner,6,NewZealand,Gary Stead,New Zealand Cricket
Ish Sodhi,6,NewZealand,Gary Stead,New Zealand Cricket
Ross Taylor,6,NewZealand,Gary Stead,New Zealand Cricket
"Sarfaraz Ahmed (c, wk)",7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Babar Azam (vc),7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Shoaib Malik,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Fakhar Zaman,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Imam-ul-Haq,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Abid Ali,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Mohammad Hafeez,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Shadab Khan,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Imad Wasim,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Hasan Ali,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Faheem Ashraf,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Shaheen Afridi,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Junaid Khan,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Mohammad Hasnain,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Haris Sohail,7,Pakistan,Mickey Arthur,Pakistan Cricket Board
Faf du Plessis (c),8,SouthAfrica,Ottis Gibson,Cricket South Africa
"Quinton de Kock (vc, wk)",8,SouthAfrica,Ottis Gibson,Cricket South Africa
Hashim Amla,8,SouthAfrica,Ottis Gibson,Cricket South Africa
Aiden Markram,8,SouthAfrica,Ottis Gibson,Cricket South Africa
Rassie van der Dussen,8,SouthAfrica,Ottis Gibson,Cricket South Africa
David Miller,8,SouthAfrica,Ottis Gibson,Cricket South Africa
JP Duminy,8,SouthAfrica,Ottis Gibson,Cricket South Africa
Andile Phehlukwayo,8,SouthAfrica,Ottis Gibson,Cricket South Africa
