Team_ID,Team_Name,Matches,Wins,Losses,Board_Name,Coach_Name
T1,India,10,7,2,Board of Control for Cricket in India,Ravi Shastri
T2,Australia,10,7,3,Cricket Australia,Justin Langer
T3,England,10,7,3,England and Wales Cricket Board,Trevor Bayliss
T4,New Zealand,10,6,3,New Zealand Cricket,Gary Stead
T5,Pakistan,8,5,3,Pakistan Cricket Board,Mickey Arthur
T6,Sri Lanka,8,3,4,Sri Lanka Cricket,Chandika Hathurusingha
T7,South Africa,9,3,5,Cricket South Africa,Ottis Gibson
T8,Bangladesh,9,3,5,Bangladesh Cricket Board,Steve Rhodes
T9,West Indies,9,2,6,Cricket West Indies,Floyd Reifer
T10,Afghanistan,9,0,9,Afghanistan Cricket Board,Phil Simmons
